"'I'm surprised that The Germans are slow to act on rape, because they probably didn't come out of radical solutions, i.e. in the camps for these Islamic animals, install transportable gas chambers and after the problem.'",hateful
'Knock down this Islamic wilderness with an atom. Merkel should be hanged in public.',hateful
"'Here you have to be clear, you're coming back or the ball.'",hateful
'you'll die in a week',hateful
"'knock almost all Arabs to their feet, leaving a few as exhibits'",hateful
'BURN MOSQUES',hateful
"'It's time to fire up furnaces and gas chambers, quickly pervert the Muzulmans to judge and turn into smoke.'",hateful
'Stryczek!',hateful
'A national hero vilified by the right who only hates! Death in support of PiS is anti-people!',hateful
'I suggest sending him a special platoon with polonism.',hateful
'traitors to lanterns',hateful
'Right!!! OP under the wall!!!',hateful
'on green leaf tree!!',hateful
'Hitler made a terrible mistake he should take on islamists and not all the rest',hateful
'I wonder if he'll laugh like he's going to hang eggs on the lighthouse in front of the belvedere.',hateful
"'Seriously? Immigrants behave badly?
Now everyone is surprised. This is only the beginning, unfortunately. Hitler, wake up and get tidy!'",hateful
"'It's a ball in the head for every immigrant and it's proven. Cheap, and efficient.'",hateful
"'Humanism will lose Europe's time to take care of it, not people who don't deserve it. More Azotox'",hateful
'together with this schathing you should hang for betraying your homeland KASHUBIA SHOULD HAVE YOU HARE',hateful
'I see concrete shoes and fish.',hateful
'for the like Gliński should be reinstated death penalty',hateful
'TRAITOR!!!!!! HANG!!!!!!',hateful
'For the defeatism and betrayal of the state of Fr. for everyone.',hateful
'Tusk traitor you should have hung around for a long time',hateful
'There's a firing squad waiting for you after a few show trials.',hateful
'I have an idea how they can't hold back in someone else's country to castrate them right away or not let in like other countries and I have a question why doesn't putin come?',hateful
'And it's like fertilizer to remake them..',hateful
"'What a foolishness to claim that women were immodestly dressed, it was winter, New Year's Eve, they certainly had coats and jackets! If it had happened to me, I would have created a battle group that cut my genitals. Enough of these drouing oblechs from the east. Animals.'",hateful
'Traitor will hang',hateful
'He proposes urochomic Oswiecim for such traitors from Po and Nw!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!',hateful
'this red puppet should dig deep and sprinkle with lime so it doesn't dig',hateful
"'What is the risk of treason? Until recently, it was the death penalty.'",hateful
'I see concrete shoes and fish.',hateful
'sPOkojnie let PiS according to the will of millions of Poles settles the transicipation with the PSL PO for Polish and ruining it to us foreign anti-Polish forces!!!! on the saffron with them!!!!',hateful
'Traitor Polish on saffron with him !!!!!!!!!!!!!!!!',hateful
'together with this schathing you should hang for betraying your homeland KASHUBIA SHOULD HAVE YOU HARE',hateful
"'Tusk, when you go back to Polish, the Poles will hang you with their own. You don't deserve anything else, and you're well aware of it. The betrayal of the country is punishable by death.'",hateful
'A national hero vilified by the right who only hates! Death in support of PiS is anti-people!',hateful
"'Ladies and gentlemen of the Islamic State, for you the only option is the option of the Lord of Volodyjowski, that is, sticking on the pal (slowly), we will knock on human rights against you, as long as we fail!, your death is our life.'",hateful
'immigrants should cut their testicles so they don't get raped',hateful
"'People like Hitler are missing at times like this. Although I'm not a fan of it, but one thing he did well was reduce the populations that imposed their views and the habits of the majority.'",hateful
'For gas mother-of-two gas',hateful
"'Menda Kurski will rot in the soil soon. People like that move away, move, but don't throw away.'",hateful
"'How the PIS puts its people wherever possible, I suspect that the polls
246% of the norm and support.'",hateful
"'8 years of OP rule..... What election promises they made, whether they lowered taxes DID NOT raise, then the retirement age, let's add the Beam tax, stealing money from the OFE, where the other Ireland and returning emigrants. And here, after 3 months of rule, the PIS is already thundering barking that the promises have not been fulfilled..... is it a joke.....'",hateful
"'No meetings with Bolek. Let the IPN declassified the proprietary collection, and let Wałęsa himself give back the cards that he snatched and appropriated. Papers on the table, not debates and meetings with this thud and liar. Multiple totolota win.'",hateful
"'This lady has wrong journalistic criticism with political sympathy, which is not the same. I listened to this lady's interview and was shocked by her behaviour towards the invited guest. That is why I believe that this lady does not deserve any defence, because she appeared in it like a PROPAGANDIST and not a journalist. It was embarrassing. It is therefore not true that she was a victim of journalistic KREYTICISM.'",hateful
'how much PIS paid for this publication???',hateful
"'They're starting to get me induched by these decisions. The Council recognised...... If they are paid for with public money, then everything they do should be publicly available. Why so, why not. The rationale for a clear tight should be public and not accessible to insiders.'",hateful
"'the emanation of the will of the people for the money of that nation works in the Sejm - shame, Mr President, is this supposed to be this good change?'",hateful
'J. Kaczynski is right. Let him continue to change Poland so that as many people as possible can benefit from the changes and not as it was until now only the party-banking establishment concrete PO-PSL-Modern and let the rest die of hunger in retirement as it will not finish before getting the right to a pension. These criminal times are over and I hope they never come back!',hateful
"'of course because if you are allowed to criticize your disliked party and from the new wara, hm'",hateful
"'It has long been known that the OP is a party of scandals, people disgraced and without honour, who are in defiant of all rules. And they still had the audaesthingness of others to teach democracy and accountability. Fortunately, they were taken away from the trough and now they should pay for their conduct and collapse.'",hateful
'In the nonsense of this kobita will believe the one who did not watch her programs',hateful
'Mrs. Karolino.Too bad . You are a high-money professional. And Glinski is just a common burrow. You have a lot of success.,hateful
"'Kidds im going to pass them, someone will settle them sometime'",hateful
'And the commune is back.',hateful
'Tusk and Thun put themselves in a row with Targowice.',hateful
"'And now TVP to finally give real information. I just paid the outstanding subscription, because we have to keep it, because it is for us-actually will be how to do the cleanup and will receive real journalists, and the minions will send. For some time POLSAT began to broadcast on a different wave and deepens. Bravo!!! Constructive criticism, not furious attacks and spitting. I'm fed up with Niesiołowski.'",hateful
"'Madrid boy, the Cejrowski.May such more ... It's time to throw these pseudoeliths on the smiddy. These gatherings laszacych for grants to Berlin or Moscow.Oni is afraid of already strong, independent and .... A Polish.In such a way for them would end coconuts for nothing, osmiorniczki for faithfully subjective ceremonies. And Szczerek? It's Karolak literature. Like this actor, he tries to survive in the market. It will be sold only if the shechterownia announced him a capable, interesting, year-old writer. That's all, an inch of waste III RP. The whole waste of a country in which idotka can become prime minister, Kiszcak a man of honor, Michnik a moral model, and pilot Lasek scientific authority.'",hateful
'Please change the name to TVPi$. And you won't see the subscription.',hateful
"'For P.Gliński, the media will only be written down, and that's what they're supposed to be. This is the most appropriate and correct. This Poland will be poor with such elites.'",hateful
'PIS is like a PZPRowska plague. The opposition's long-standing role has not been as important as it is today.',hateful
"'now answer the question, who prepared these letters mr wilsztainz Mr Piotrowicz or Mr Suminski and maybe Mr Jasinski, what a taunt from the history of SB who are in the may write to certify who was the capus and who was not and the summit was to accuse Mr. Chrzanowski and now such hyenas are still over the people who then sat in prisons and their tormentors prove that they had worse because they were party appalouchs horror!!!!!!!'",hateful
"'These are not refugees. People crossing several safe countries are, without exception, illegal economic immigrants. Pinning them to a patch of refugees by the Polish-speaking media is a manipulation aimed at provoking compassion and weakening the defensive reflex against the Muslim storm. Islam = fascism!  You should blunt this sick ideology every step of the way!'",hateful
"'But nonsense and scheduing people. Let PiS do its thing. Let the bandits, twisters, machetes, thieves, bribes and any other grandfathering weaken our country. And honest people, let them stop shaking for fear of such cloudyness and help to make positive !!!'",hateful
'SOON THE END OF PIS WILL BE VERY PAINFUL TO THE DELIGHT OF THE SO-CALLED WORSE SORT!!!!!',hateful
"'Why do all the disgruntled complain to the Germans? There are so many other nations in the world. History has already shown more than once what it ended - do these ""unhappy people count on a replay of the story?"".",hateful
"'.... if this information is confirmed, we will have ... .... everything indicates this .... - journalists belkoce, and the dark people buy what you see after the forum entries :-)'",hateful
"'Yes, there's a problem. I pay for it! I'd love to take advantage of the culture of higher flights, not the ciupciania!'",hateful
"'and the night shift painfully sometime remember fails? ojoj less maselka, thank you do not disgrace you!'",hateful
'Bravo.... and settle those who kumotersko robbed Poland',hateful
"'Surveillance full couple, overt and direct as in Russia, will be even hot jarus tsar Polish'",hateful
"'The Prime Minister has oversight of CBOS. It's still a miracle that 120% did not hit each other ;-) Strange that under the previous authority pis squealed on the results of CBOS. And now he will be waiving them like Mrs Pavlovich. Well, as they created the survey themselves, they are proud of their 'creative work'.",hateful
'This is yet another act of sabotage in recent days aimed at cutting off the peninsula from Ukrainian electricity. This is not an act of sabotage of someone out there. This is happening with the quiet permission of the Ukrainian authorities. Or the so-called Right Sector (read: flag reptiles) broke out of control.',hateful
'Now it's all clear to whom we owe this ness in the EU. Mr Tusk's embarrassment.',hateful
